date_month,breakdown,dimension,adoption_rate_pct,mom_change_pp,yoy_change_pp
2023-01-01,Business size,Large businesses,13.4500,0.0000,
2023-01-01,Business size,Medium-sized businesses,7.7200,0.0000,
2023-01-01,Business size,Small businesses,5.3900,0.0000,
2023-01-01,Headline,,7.4600,0.0000,
2023-01-01,Models,Anthropic,0.1700,0.0000,
2023-01-01,Models,DeepSeek,0.0000,0.0000,
2023-01-01,Models,Google,4.7300,0.0000,
2023-01-01,Models,OpenAI,2.0600,0.0000,
2023-01-01,Models,xAI,0.8400,0.0000,
2023-01-01,Sector,Accommodation & Food,1.7400,0.0000,
2023-01-01,Sector,Construction,1.2700,0.0000,
2023-01-01,Sector,Finance & Insurance,8.6500,0.0000,
2023-01-01,Sector,Healthcare,3.8800,0.0000,
2023-01-01,Sector,Information,15.3700,0.0000,
2023-01-01,Sector,Manufacturing,4.3100,0.0000,
2023-01-01,Sector,Retail Trade,5.2900,0.0000,
2023-02-01,Business size,Large businesses,17.1100,3.6600,
2023-02-01,Business size,Medium-sized businesses,12.2800,4.5500,
2023-02-01,Business size,Small businesses,10.3100,4.9200,
2023-02-01,Headline,,12.0600,4.6000,
2023-02-01,Models,Anthropic,0.1700,0.0000,
2023-02-01,Models,DeepSeek,0.0000,0.0000,
2023-02-01,Models,Google,4.7500,0.0200,
2023-02-01,Models,OpenAI,7.7400,5.6800,
2023-02-01,Models,xAI,0.8900,0.0500,
2023-02-01,Sector,Accommodation & Food,3.9800,2.2400,
2023-02-01,Sector,Construction,2.2300,0.9500,
2023-02-01,Sector,Finance & Insurance,13.7300,5.0800,
2023-02-01,Sector,Healthcare,5.0300,1.1500,
2023-02-01,Sector,Information,24.7400,9.3700,
2023-02-01,Sector,Manufacturing,6.8700,2.5600,
2023-02-01,Sector,Retail Trade,8.1600,2.8700,
2023-03-01,Business size,Large businesses,25.4000,8.2900,
2023-03-01,Business size,Medium-sized businesses,20.5600,8.2800,
2023-03-01,Business size,Small businesses,19.7300,9.4200,
2023-03-01,Headline,,20.9100,8.8500,
2023-03-01,Models,Anthropic,0.2800,0.1100,
2023-03-01,Models,DeepSeek,0.0000,0.0000,
2023-03-01,Models,Google,4.6200,-0.1400,
2023-03-01,Models,OpenAI,17.6500,9.9100,
