date_month,breakdown,dimension,median_pepm,p90_pepm,p99_pepm,top_10_percent_median_pepm,top_1_percent_median_pepm,p99_winsorized_weighted_pepm
2023-08-01,Business size,Large,0.4000,,,,,4.9800
2023-08-01,Business size,Medium,1.6000,,,,,10.5000
2023-08-01,Business size,Small,4.3900,,,,,20.1400
2023-08-01,Financing status,Other,2.0700,,,,,2.5100
2023-08-01,Financing status,PE-backed,0.5700,,,,,2.1700
2023-08-01,Financing status,VC-backed,2.9100,,,,,9.5900
2023-08-01,Overall,,2.3200,26.6900,393.2300,62.0200,858.5900,4.1300
2023-08-01,Sector,Finance and insurance,2.7300,,,,,4.4800
2023-08-01,Sector,"Professional, scientific, and technical services",2.5000,,,,,6.1300
2023-08-01,Sector,Technology and media,3.7700,,,,,8.9900
2023-09-01,Business size,Large,0.4900,,,,,4.9800
2023-09-01,Business size,Medium,1.7800,,,,,11.6500
2023-09-01,Business size,Small,5.0000,,,,,25.8500
2023-09-01,Financing status,Other,2.1300,,,,,2.6900
2023-09-01,Financing status,PE-backed,0.7600,,,,,2.9400
2023-09-01,Financing status,VC-backed,3.4000,,,,,8.6200
2023-09-01,Overall,,2.5000,32.3900,369.7200,70.0400,874.8900,4.1400
2023-09-01,Sector,Finance and insurance,3.3300,,,,,6.7700
2023-09-01,Sector,"Professional, scientific, and technical services",2.5000,,,,,6.6900
2023-09-01,Sector,Technology and media,4.4200,,,,,7.5200
2023-10-01,Business size,Large,0.5700,,,,,4.8900
2023-10-01,Business size,Medium,1.9200,,,,,12.4600
2023-10-01,Business size,Small,5.0000,,,,,23.1400
2023-10-01,Financing status,Other,2.2000,,,,,2.1600
2023-10-01,Financing status,PE-backed,0.7900,,,,,2.0100
2023-10-01,Financing status,VC-backed,3.7000,,,,,12.2500
2023-10-01,Overall,,2.5800,31.4700,372.6900,73.0500,893.1600,4.3300
2023-10-01,Sector,Finance and insurance,3.4100,,,,,7.4600
2023-10-01,Sector,"Professional, scientific, and technical services",2.5000,,,,,10.0500
2023-10-01,Sector,Technology and media,4.5200,,,,,8.6000
2023-11-01,Business size,Large,0.5600,,,,,6.7000
2023-11-01,Business size,Medium,2.0000,,,,,13.7300
2023-11-01,Business size,Small,5.0000,,,,,24.2000
2023-11-01,Financing status,Other,2.2700,,,,,3.1300
2023-11-01,Financing status,PE-backed,0.7200,,,,,1.9000
2023-11-01,Financing status,VC-backed,4.0000,,,,,12.9600
2023-11-01,Overall,,2.7200,35.3600,469.4400,81.1800,752.9600,5.2500
2023-11-01,Sector,Finance and insurance,3.3700,,,,,9.3300
2023-11-01,Sector,Manufacturing,1.2900,,,,,0.6100
2023-11-01,Sector,"Professional, scientific, and technical services",2.7300,,,,,10.0400
2023-11-01,Sector,Technology and media,5.0000,,,,,11.8100
